50,alarm,MW,1.9e-05
50,alarm,MF,1.6e-05
50,alarm,WMF,1.7e-05
50,alarm,PE,3.5e-05
51,alarm,MN,0.00152
51,alarm,MW,2e-05
51,alarm,MF,1.5e-05
51,alarm,WMF,1.5e-05
51,alarm,PE,4e-05
52,alarm,MN,0.001584
52,alarm,MW,1.6e-05
52,alarm,MF,1.6e-05
52,alarm,WMF,1.6e-05
52,alarm,PE,2.9e-05
53,alarm,MN,0.001198
53,alarm,MW,1.3e-05
53,alarm,MF,2.3e-05
53,alarm,WMF,1.3e-05
53,alarm,PE,4e-05
54,alarm,MN,0.001548
54,alarm,MW,1.7e-05
54,alarm,MF,1.5e-05
54,alarm,WMF,1.5e-05
54,alarm,PE,3e-05
55,alarm,MN,0.001559
55,alarm,MW,1.5e-05
55,alarm,MF,1.6e-05
55,alarm,WMF,1.4e-05
55,alarm,PE,3e-05
56,alarm,MN,0.001152
56,alarm,MW,2.2e-05
56,alarm,MF,1.4e-05
56,alarm,WMF,1.4e-05
56,alarm,PE,2.9e-05
57,alarm,MN,0.001524
57,alarm,MW,1.6e-05
57,alarm,MF,1.5e-05
57,alarm,WMF,1.6e-05
57,alarm,PE,4.8e-05
58,alarm,MN,0.001609
58,alarm,MW,1.5e-05
58,alarm,MF,1.6e-05
58,alarm,WMF,1.6e-05
58,alarm,PE,3.9e-05
59,alarm,MN,0.001132
59,alarm,MW,1.4e-05
59,alarm,MF,1.4e-05
59,alarm,WMF,1.5e-05
59,alarm,PE,3e-05
60,alarm,MN,0.001147
60,alarm,MW,1.5e-05
60,alarm,MF,1.3e-05
60,alarm,WMF,1.4e-05
60,alarm,PE,3.8e-05
61,alarm,MN,0.001241
61,alarm,MW,1.5e-05
61,alarm,MF,1.5e-05
61,alarm,WMF,1.4e-05
61,alarm,PE,3.8e-05
62,alarm,MN,0.001242
62,alarm,MW,1.6e-05
62,alarm,MF,1.3e-05
62,alarm,WMF,1.5e-05
62,alarm,PE,3e-05
63,alarm,MN,0.001548
63,alarm,MW,2e-05
63,alarm,MF,1.9e-05
63,alarm,WMF,2e-05
63,alarm,PE,4.1e-05
64,alarm,MN,0.00117
64,alarm,MW,1.5e-05
64,alarm,MF,1.4e-05
64,alarm,WMF,1.3e-05
64,alarm,PE,4e-05
65,alarm,MN,0.001216
65,alarm,MW,1.4e-05
65,alarm,MF,1.4e-05
65,alarm,WMF,1.3e-05
65,alarm,PE,3.9e-05
66,alarm,MN,0.001378
66,alarm,MW,2.8e-05
66,alarm,MF,1.5e-05
66,alarm,WMF,1.5e-05
66,alarm,PE,3.7e-05
67,alarm,MN,0.001111
67,alarm,MW,2.3e-05
67,alarm,MF,1.3e-05
67,alarm,WMF,1.5e-05
67,alarm,PE,3.8e-05
68,alarm,MN,0.001569
68,alarm,MW,1.9e-05
68,alarm,MF,1.5e-05
68,alarm,WMF,1.4e-05
68,alarm,PE,3.5e-05
69,alarm,MN,0.001158
69,alarm,MW,2.2e-05
69,alarm,MF,1.4e-05
69,alarm,WMF,1.3e-05
69,alarm,PE,3.2e-05
70,alarm,MN,0.001617
70,alarm,MW,2e-05
70,alarm,MF,1.9e-05
70,alarm,WMF,1.8e-05
70,alarm,PE,3e-05
71,alarm,MN,0.001109
71,alarm,MW,1.4e-05
71,alarm,MF,1.5e-05
71,alarm,WMF,1.4e-05
71,alarm,PE,3e-05
72,alarm,MN,0.001459
72,alarm,MW,2.1e-05
72,alarm,MF,2.6e-05
72,alarm,WMF,3.3e-05
72,alarm,PE,4.1e-05
73,alarm,MN,0.001527
73,alarm,MW,1.9e-05
73,alarm,MF,1.9e-05
73,alarm,WMF,1.9e-05
73,alarm,PE,2.9e-05
74,alarm,MN,0.001189
74,alarm,MW,1.4e-05
74,alarm,MF,1.5e-05
74,alarm,WMF,1.4e-05
74,alarm,PE,2.8e-05
75,alarm,MN,0.001563
75,alarm,MW,1.8e-05
75,alarm,MF,1.6e-05
75,alarm,WMF,1.6e-05
75,alarm,PE,3.7e-05
76,alarm,MN,0.001572
76,alarm,MW,1.5e-05
76,alarm,MF,1.5e-05
76,alarm,WMF,1.6e-05
76,alarm,PE,2.9e-05
77,alarm,MN,0.001759
77,alarm,MW,1.9e-05
77,alarm,MF,1.4e-05
77,alarm,WMF,1.5e-05
77,alarm,PE,3.1e-05
78,alarm,MN,0.001204
78,alarm,MW,3.1e-05
78,alarm,MF,1.8e-05
78,alarm,WMF,1.7e-05
78,alarm,PE,3.4e-05
79,alarm,MN,0.001311
79,alarm,MW,1.5e-05
79,alarm,MF,1.4e-05
79,alarm,WMF,1.7e-05
79,alarm,PE,3.3e-05
80,alarm,MN,0.001162
80,alarm,MW,1.4e-05
80,alarm,MF,1.4e-05
80,alarm,WMF,1.4e-05
80,alarm,PE,3.2e-05
81,alarm,MN,0.00157
81,alarm,MW,1.9e-05
81,alarm,MF,1.9e-05
81,alarm,WMF,1.9e-05
81,alarm,PE,4e-05
82,alarm,MN,0.001677
82,alarm,MW,1.9e-05
82,alarm,MF,1.9e-05
82,alarm,WMF,1.9e-05
82,alarm,PE,4e-05
83,alarm,MN,0.001542
83,alarm,MW,1.9e-05
83,alarm,MF,1.5e-05
83,alarm,WMF,1.5e-05
83,alarm,PE,3e-05
84,alarm,MN,0.00132
84,alarm,MW,1.5e-05
84,alarm,MF,1.5e-05
84,alarm,WMF,1.5e-05
84,alarm,PE,5.7e-05
85,alarm,MN,0.001146
85,alarm,MW,2.2e-05
85,alarm,MF,1.3e-05
85,alarm,WMF,1.4e-05
85,alarm,PE,3.2e-05
86,alarm,MN,0.001154
86,alarm,MW,1.4e-05
86,alarm,MF,1.5e-05
86,alarm,WMF,3.5e-05
86,alarm,PE,3.8e-05
87,alarm,MN,0.001551
87,alarm,MW,1.6e-05
87,alarm,MF,1.5e-05
87,alarm,WMF,1.6e-05
87,alarm,PE,2.6e-05
88,alarm,MN,0.001205
88,alarm,MW,1.4e-05
88,alarm,MF,1.3e-05
88,alarm,WMF,1.3e-05
88,alarm,PE,3.2e-05
89,alarm,MN,0.001175
89,alarm,MW,1.4e-05
89,alarm,MF,1.5e-05
89,alarm,WMF,1.4e-05
89,alarm,PE,3e-05
90,alarm,MN,0.001187
90,alarm,MW,1.4e-05
90,alarm,MF,1.2e-05
90,alarm,WMF,1.2e-05
90,alarm,PE,4e-05
91,alarm,MN,0.00115
91,alarm,MW,1.4e-05
91,alarm,MF,1.3e-05
91,alarm,WMF,1.4e-05
91,alarm,PE,3.7e-05
92,alarm,MN,0.001569
92,alarm,MW,2.5e-05
92,alarm,MF,1.6e-05
92,alarm,WMF,1.6e-05
92,alarm,PE,3.7e-05
93,alarm,MN,0.001363
93,alarm,MW,1.7e-05
93,alarm,MF,1.5e-05
