run,bn,heuristic,time,,Column Labels,,,,,
35,hepar2,MF,3.90E-05,,,,,,,
35,hepar2,WMF,2.40E-05,,,,,,,
35,hepar2,PE,4.10E-05,,,,,,,
36,hepar2,MN,0.002296,,,,,,,
36,hepar2,MW,3.70E-05,,,,,,,
36,hepar2,MF,5.30E-05,,,,,,,
36,hepar2,WMF,5.00E-05,,,,,,,
36,hepar2,PE,5.10E-05,,,,,,,
37,hepar2,MN,0.003172,,,,,,,
37,hepar2,MW,3.70E-05,,,,,,,
37,hepar2,MF,7.50E-05,,,,,,,
37,hepar2,WMF,4.00E-05,,,,,,,
37,hepar2,PE,7.60E-05,,,,,,,
38,hepar2,MN,0.002323,,,,,,,
38,hepar2,MW,6.60E-05,,,,,,,
38,hepar2,MF,5.60E-05,,,,,,,
38,hepar2,WMF,0.000133,,,,,,,
38,hepar2,PE,3.90E-05,,,,,,,
39,hepar2,MN,0.002664,,,,,,,
39,hepar2,MW,4.60E-05,,,,,,,
39,hepar2,MF,4.10E-05,,,,,,,
39,hepar2,WMF,4.40E-05,,,,,,,
39,hepar2,PE,3.70E-05,,,,,,,
40,hepar2,MN,0.002404,,,,,,,
40,hepar2,MW,2.10E-05,,,,,,,
40,hepar2,MF,3.20E-05,,,,,,,
40,hepar2,WMF,3.90E-05,,,,,,,
40,hepar2,PE,4.90E-05,,,,,,,
41,hepar2,MN,0.002317,,,,,,,
41,hepar2,MW,2.90E-05,,,,,,,
41,hepar2,MF,4.60E-05,,,,,,,
41,hepar2,WMF,2.50E-05,,,,,,,
41,hepar2,PE,4.60E-05,,,,,,,
42,hepar2,MN,0.002553,,,,,,,
42,hepar2,MW,3.80E-05,,,,,,,
42,hepar2,MF,5.10E-05,,,,,,,
42,hepar2,WMF,5.60E-05,,,,,,,
42,hepar2,PE,3.80E-05,,,,,,,
43,hepar2,MN,0.002394,,,,,,,
43,hepar2,MW,3.20E-05,,,,,,,
43,hepar2,MF,2.50E-05,,,,,,,
43,hepar2,WMF,2.10E-05,,,,,,,
43,hepar2,PE,3.90E-05,,,,,,,
44,hepar2,MN,0.002282,,,,,,,
44,hepar2,MW,2.30E-05,,,,,,,
44,hepar2,MF,2.70E-05,,,,,,,
44,hepar2,WMF,3.30E-05,,,,,,,
44,hepar2,PE,3.60E-05,,,,,,,
45,hepar2,MN,0.003255,,,,,,,
45,hepar2,MW,2.40E-05,,,,,,,
45,hepar2,MF,4.00E-05,,,,,,,
45,hepar2,WMF,3.90E-05,,,,,,,
45,hepar2,PE,4.60E-05,,,,,,,
46,hepar2,MN,0.002296,,,,,,,
46,hepar2,MW,3.80E-05,,,,,,,
46,hepar2,MF,5.20E-05,,,,,,,
46,hepar2,WMF,4.70E-05,,,,,,,
46,hepar2,PE,3.40E-05,,,,,,,
47,hepar2,MN,0.002288,,,,,,,
47,hepar2,MW,2.10E-05,,,,,,,
47,hepar2,MF,3.00E-05,,,,,,,
47,hepar2,WMF,3.50E-05,,,,,,,
47,hepar2,PE,3.70E-05,,,,,,,
48,hepar2,MN,0.002371,,,,,,,
48,hepar2,MW,4.60E-05,,,,,,,
48,hepar2,MF,4.40E-05,,,,,,,
48,hepar2,WMF,3.60E-05,,,,,,,
48,hepar2,PE,4.30E-05,,,,,,,
49,hepar2,MN,0.002338,,,,,,,
49,hepar2,MW,3.60E-05,,,,,,,
49,hepar2,MF,2.20E-05,,,,,,,
49,hepar2,WMF,2.90E-05,,,,,,,
49,hepar2,PE,5.60E-05,,,,,,,
50,hepar2,MN,0.002247,,,,,,,
50,hepar2,MW,3.50E-05,,,,,,,
50,hepar2,MF,3.20E-05,,,,,,,
50,hepar2,WMF,4.60E-05,,,,,,,
50,hepar2,PE,4.60E-05,,,,,,,
51,hepar2,MN,0.002221,,,,,,,
51,hepar2,MW,2.20E-05,,,,,,,
51,hepar2,MF,2.00E-05,,,,,,,
51,hepar2,WMF,5.10E-05,,,,,,,
51,hepar2,PE,3.60E-05,,,,,,,
52,hepar2,MN,0.002426,,,,,,,
52,hepar2,MW,5.80E-05,,,,,,,
52,hepar2,MF,2.90E-05,,,,,,,
52,hepar2,WMF,3.30E-05,,,,,,,
52,hepar2,PE,4.00E-05,,,,,,,
53,hepar2,MN,0.002507,,,,,,,
53,hepar2,MW,3.70E-05,,,,,,,
53,hepar2,MF,3.40E-05,,,,,,,
53,hepar2,WMF,3.00E-05,,,,,,,
53,hepar2,PE,3.90E-05,,,,,,,
54,hepar2,MN,0.002447,,,,,,,
54,hepar2,MW,2.50E-05,,,,,,,
54,hepar2,MF,2.90E-05,,,,,,,
54,hepar2,WMF,2.60E-05,,,,,,,
54,hepar2,PE,3.80E-05,,,,,,,
55,hepar2,MN,0.002262,,,,,,,
55,hepar2,MW,2.50E-05,,,,,,,
55,hepar2,MF,4.10E-05,,,,,,,
55,hepar2,WMF,2.60E-05,,,,,,,
55,hepar2,PE,4.70E-05,,,,,,,
56,hepar2,MN,0.002289,,,,,,,
56,hepar2,MW,2.10E-05,,,,,,,
56,hepar2,MF,3.20E-05,,,,,,,
56,hepar2,WMF,2.70E-05,,,,,,,
56,hepar2,PE,4.80E-05,,,,,,,
57,hepar2,MN,0.002492,,,,,,,
57,hepar2,MW,3.20E-05,,,,,,,
57,hepar2,MF,3.70E-05,,,,,,,
57,hepar2,WMF,2.20E-05,,,,,,,
57,hepar2,PE,3.80E-05,,,,,,,
58,hepar2,MN,0.002273,,,,,,,
58,hepar2,MW,2.60E-05,,,,,,,
58,hepar2,MF,3.70E-05,,,,,,,
58,hepar2,WMF,4.40E-05,,,,,,,
58,hepar2,PE,4.00E-05,,,,,,,
59,hepar2,MN,0.002309,,,,,,,
59,hepar2,MW,2.10E-05,,,,,,,
59,hepar2,MF,2.40E-05,,,,,,,
59,hepar2,WMF,3.80E-05,,,,,,,
59,hepar2,PE,4.70E-05,,,,,,,
60,hepar2,MN,0.002414,,,,,,,
60,hepar2,MW,3.40E-05,,,,,,,
60,hepar2,MF,4.60E-05,,,,,,,
60,hepar2,WMF,5.30E-05,,,,,,,
60,hepar2,PE,4.50E-05,,,,,,,
61,hepar2,MN,0.002715,,,,,,,
61,hepar2,MW,3.10E-05,,,,,,,
61,hepar2,MF,3.90E-05,,,,,,,
61,hepar2,WMF,2.30E-05,,,,,,,
61,hepar2,PE,4.60E-05,,,,,,,
62,hepar2,MN,0.003161,,,,,,,
62,hepar2,MW,2.60E-05,,,,,,,
62,hepar2,MF,3.10E-05,,,,,,,
62,hepar2,WMF,3.00E-05,,,,,,,
62,hepar2,PE,6.10E-05,,,,,,,
63,hepar2,MN,0.002396,,,,,,,
63,hepar2,MW,3.00E-05,,,,,,,
63,hepar2,MF,3.80E-05,,,,,,,
63,hepar2,WMF,2.50E-05,,,,,,,
63,hepar2,PE,3.70E-05,,,,,,,
64,hepar2,MN,0.002468,,,,,,,
64,hepar2,MW,2.80E-05,,,,,,,
64,hepar2,MF,2.90E-05,,,,,,,
64,hepar2,WMF,3.30E-05,,,,,,,
64,hepar2,PE,4.90E-05,,,,,,,
65,hepar2,MN,0.003857,,,,,,,
65,hepar2,MW,3.70E-05,,,,,,,
65,hepar2,MF,3.80E-05,,,,,,,
65,hepar2,WMF,3.00E-05,,,,,,,
65,hepar2,PE,3.70E-05,,,,,,,
66,hepar2,MN,0.002445,,,,,,,
66,hepar2,MW,3.40E-05,,,,,,,
66,hepar2,MF,2.20E-05,,,,,,,
66,hepar2,WMF,2.50E-05,,,,,,,
66,hepar2,PE,4.60E-05,,,,,,,
67,hepar2,MN,0.002494,,,,,,,
67,hepar2,MW,3.40E-05,,,,,,,
67,hepar2,MF,3.20E-05,,,,,,,
67,hepar2,WMF,2.30E-05,,,,,,,
