run,bn,heuristic,time
93,barley,MW,2.8e-05
93,barley,MF,2.9e-05
93,barley,WMF,2.4e-05
93,barley,PE,1.9e-05
94,barley,MN,0.162369
94,barley,MW,2.2e-05
94,barley,MF,2.8e-05
94,barley,WMF,2.4e-05
94,barley,PE,2e-05
95,barley,MN,0.303751
95,barley,MW,2.1e-05
95,barley,MF,2.7e-05
95,barley,WMF,3.4e-05
95,barley,PE,2.2e-05
96,barley,MN,0.341214
96,barley,MW,2.1e-05
96,barley,MF,1.6e-05
96,barley,WMF,1.5e-05
96,barley,PE,1.8e-05
97,barley,MN,0.290814
97,barley,MW,2.1e-05
97,barley,MF,1.6e-05
97,barley,WMF,1.7e-05
97,barley,PE,1.6e-05
98,barley,MN,0.647551
98,barley,MW,2e-05
98,barley,MF,1.7e-05
98,barley,WMF,3.7e-05
98,barley,PE,2.3e-05
99,barley,MN,0.544062
99,barley,MW,2.1e-05
99,barley,MF,1.7e-05
99,barley,WMF,1.6e-05
99,barley,PE,1.7e-05
100,barley,MN,0.255348
100,barley,MW,1.9e-05
100,barley,MF,1.5e-05
100,barley,WMF,1.6e-05
100,barley,PE,1.5e-05
101,barley,MN,0.283402
101,barley,MW,2.2e-05
101,barley,MF,1.6e-05
101,barley,WMF,1.6e-05
101,barley,PE,1.6e-05
102,barley,MN,0.257314
102,barley,MW,2.5e-05
102,barley,MF,2e-05
102,barley,WMF,1.6e-05
102,barley,PE,1.6e-05
103,barley,MN,0.18858
103,barley,MW,2.8e-05
103,barley,MF,2.6e-05
103,barley,WMF,2.2e-05
103,barley,PE,2.4e-05
104,barley,MN,0.179493
104,barley,MW,3e-05
104,barley,MF,1.9e-05
104,barley,WMF,2.1e-05
104,barley,PE,1.9e-05
105,barley,MN,0.200574
105,barley,MW,2.7e-05
105,barley,MF,2e-05
105,barley,WMF,2e-05
105,barley,PE,2e-05
106,barley,MN,0.183315
106,barley,MW,2.2e-05
106,barley,MF,1.8e-05
106,barley,WMF,1.7e-05
106,barley,PE,1.8e-05
107,barley,MN,0.182156
107,barley,MW,2.3e-05
107,barley,MF,3.1e-05
107,barley,WMF,1.9e-05
107,barley,PE,1.6e-05
108,barley,MN,0.264514
108,barley,MW,3e-05
108,barley,MF,1.5e-05
108,barley,WMF,1.6e-05
108,barley,PE,1.7e-05
109,barley,MN,0.27138
109,barley,MW,2.1e-05
109,barley,MF,1.6e-05
109,barley,WMF,1.6e-05
109,barley,PE,1.7e-05
110,barley,MN,0.228975
110,barley,MW,2e-05
110,barley,MF,2.4e-05
110,barley,WMF,1.5e-05
110,barley,PE,1.6e-05
111,barley,MN,0.260946
111,barley,MW,2.1e-05
111,barley,MF,1.5e-05
111,barley,WMF,1.6e-05
111,barley,PE,1.6e-05
112,barley,MN,3.15049
112,barley,MW,2.7e-05
112,barley,MF,1.7e-05
112,barley,WMF,2.6e-05
112,barley,PE,1.7e-05
113,barley,MN,0.633179
113,barley,MW,2.1e-05
113,barley,MF,1.5e-05
113,barley,WMF,1.5e-05
113,barley,PE,1.6e-05
114,barley,MN,0.608773
114,barley,MW,3.3e-05
114,barley,MF,2.4e-05
114,barley,WMF,2.3e-05
114,barley,PE,1.9e-05
115,barley,MN,0.691425
115,barley,MW,2.6e-05
115,barley,MF,1.8e-05
115,barley,WMF,1.7e-05
115,barley,PE,1.8e-05
116,barley,MN,0.157193
116,barley,MW,3.1e-05
116,barley,MF,1.8e-05
116,barley,WMF,1.6e-05
116,barley,PE,1.7e-05
117,barley,MN,0.167446
117,barley,MW,2.1e-05
117,barley,MF,1.6e-05
117,barley,WMF,2.4e-05
117,barley,PE,1.6e-05
118,barley,MN,0.157198
118,barley,MW,2e-05
118,barley,MF,1.6e-05
118,barley,WMF,1.6e-05
118,barley,PE,1.5e-05
119,barley,MN,0.15317
119,barley,MW,3e-05
119,barley,MF,1.7e-05
119,barley,WMF,1.6e-05
119,barley,PE,2e-05
120,barley,MN,0.329155
120,barley,MW,2.1e-05
120,barley,MF,1.7e-05
120,barley,WMF,1.6e-05
120,barley,PE,1.6e-05
121,barley,MN,0.348384
121,barley,MW,2.1e-05
121,barley,MF,1.7e-05
121,barley,WMF,1.5e-05
121,barley,PE,2.2e-05
122,barley,MN,0.287661
122,barley,MW,2.1e-05
122,barley,MF,1.5e-05
122,barley,WMF,1.7e-05
122,barley,PE,2.2e-05
123,barley,MN,0.306081
123,barley,MW,2.4e-05
123,barley,MF,1.9e-05
123,barley,WMF,2e-05
123,barley,PE,1.9e-05
124,barley,MN,0.31258
124,barley,MW,1.9e-05
124,barley,MF,1.6e-05
124,barley,WMF,1.6e-05
124,barley,PE,1.7e-05
125,barley,MN,0.258516
125,barley,MW,2e-05
125,barley,MF,1.6e-05
125,barley,WMF,2e-05
