run,bn,heuristic,time
76,alarm,MF,1.7e-05
76,alarm,WMF,1.6e-05
76,alarm,PE,2.1e-05
77,alarm,MN,0.00122
77,alarm,MW,1.5e-05
77,alarm,MF,1.4e-05
77,alarm,WMF,1.7e-05
77,alarm,PE,1.5e-05
78,alarm,MN,0.001204
78,alarm,MW,1.7e-05
78,alarm,MF,1.8e-05
78,alarm,WMF,1.4e-05
78,alarm,PE,1.5e-05
79,alarm,MN,0.001259
79,alarm,MW,2.2e-05
79,alarm,MF,2.2e-05
79,alarm,WMF,5.3e-05
79,alarm,PE,2.4e-05
80,alarm,MN,0.001398
80,alarm,MW,2e-05
80,alarm,MF,2.7e-05
80,alarm,WMF,1.7e-05
80,alarm,PE,1.5e-05
81,alarm,MN,0.001277
81,alarm,MW,1.5e-05
81,alarm,MF,1.8e-05
81,alarm,WMF,1.4e-05
81,alarm,PE,1.7e-05
82,alarm,MN,0.00122
82,alarm,MW,1.6e-05
82,alarm,MF,3.3e-05
82,alarm,WMF,1.6e-05
82,alarm,PE,1.6e-05
83,alarm,MN,0.001271
83,alarm,MW,2.1e-05
83,alarm,MF,1.7e-05
83,alarm,WMF,1.9e-05
83,alarm,PE,2.7e-05
84,alarm,MN,0.00128
84,alarm,MW,2.5e-05
84,alarm,MF,2.2e-05
84,alarm,WMF,2.2e-05
84,alarm,PE,3.1e-05
85,alarm,MN,0.001322
85,alarm,MW,2.6e-05
85,alarm,MF,4.6e-05
85,alarm,WMF,2.9e-05
85,alarm,PE,3.1e-05
86,alarm,MN,0.001252
86,alarm,MW,1.7e-05
86,alarm,MF,1.5e-05
86,alarm,WMF,1.5e-05
86,alarm,PE,1.4e-05
87,alarm,MN,0.001744
87,alarm,MW,1.8e-05
87,alarm,MF,1.5e-05
87,alarm,WMF,7.2e-05
87,alarm,PE,3.4e-05
88,alarm,MN,0.00179
88,alarm,MW,3e-05
88,alarm,MF,2.2e-05
88,alarm,WMF,1.8e-05
88,alarm,PE,2.3e-05
89,alarm,MN,0.001297
89,alarm,MW,1.5e-05
89,alarm,MF,1.6e-05
89,alarm,WMF,3.6e-05
89,alarm,PE,3.2e-05
90,alarm,MN,0.001335
90,alarm,MW,2e-05
90,alarm,MF,1.9e-05
90,alarm,WMF,1.8e-05
90,alarm,PE,3.5e-05
91,alarm,MN,0.001464
91,alarm,MW,1.5e-05
91,alarm,MF,1.6e-05
91,alarm,WMF,2.1e-05
91,alarm,PE,1.9e-05
92,alarm,MN,0.001222
92,alarm,MW,2.8e-05
92,alarm,MF,1.6e-05
92,alarm,WMF,1.7e-05
92,alarm,PE,1.4e-05
93,alarm,MN,0.001256
93,alarm,MW,1.6e-05
93,alarm,MF,1.6e-05
93,alarm,WMF,1.6e-05
93,alarm,PE,1.6e-05
94,alarm,MN,0.00122
94,alarm,MW,1.5e-05
94,alarm,MF,1.7e-05
94,alarm,WMF,1.5e-05
94,alarm,PE,1.6e-05
95,alarm,MN,0.00138
95,alarm,MW,2e-05
95,alarm,MF,2.2e-05
95,alarm,WMF,2.2e-05
95,alarm,PE,4.2e-05
96,alarm,MN,0.001772
96,alarm,MW,1.6e-05
96,alarm,MF,1.7e-05
96,alarm,WMF,1.4e-05
96,alarm,PE,2.2e-05
97,alarm,MN,0.001243
97,alarm,MW,1.7e-05
97,alarm,MF,1.5e-05
97,alarm,WMF,1.6e-05
97,alarm,PE,1.7e-05
98,alarm,MN,0.001206
98,alarm,MW,1.5e-05
98,alarm,MF,2.4e-05
98,alarm,WMF,1.8e-05
98,alarm,PE,1.7e-05
99,alarm,MN,0.001215
99,alarm,MW,1.5e-05
99,alarm,MF,1.5e-05
99,alarm,WMF,1.6e-05
99,alarm,PE,1.5e-05
100,alarm,MN,0.001176
100,alarm,MW,2e-05
100,alarm,MF,2.1e-05
100,alarm,WMF,3e-05
100,alarm,PE,1.5e-05
101,alarm,MN,0.001256
101,alarm,MW,1.7e-05
101,alarm,MF,1.5e-05
101,alarm,WMF,2.4e-05
101,alarm,PE,3e-05
102,alarm,MN,0.001192
102,alarm,MW,1.5e-05
102,alarm,MF,1.6e-05
102,alarm,WMF,1.5e-05
102,alarm,PE,2.1e-05
103,alarm,MN,0.001353
103,alarm,MW,1.6e-05
103,alarm,MF,1.5e-05
103,alarm,WMF,3.3e-05
103,alarm,PE,3.1e-05
104,alarm,MN,0.001899
104,alarm,MW,2.4e-05
104,alarm,MF,1.8e-05
104,alarm,WMF,1.7e-05
104,alarm,PE,1.6e-05
105,alarm,MN,0.001218
105,alarm,MW,1.4e-05
105,alarm,MF,1.4e-05
105,alarm,WMF,1.6e-05
105,alarm,PE,3e-05
106,alarm,MN,0.00122
106,alarm,MW,2.2e-05
106,alarm,MF,1.6e-05
106,alarm,WMF,1.5e-05
106,alarm,PE,1.7e-05
107,alarm,MN,0.00122
107,alarm,MW,2e-05
107,alarm,MF,1.6e-05
107,alarm,WMF,2.2e-05
107,alarm,PE,1.5e-05
108,alarm,MN,0.001236
